,Nazwa stanowiska,Nazwa firmy,Lokalizacja,Wynagrodzenie,Opis stanowiska
0,Data Scientist,Indeed Prime,Manchester,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
1,Data Scientist,Williams Lea,London SE1,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
2,Data Scientist at Oxford AI startup,DeepReason.ai,Glasgow,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
3,Data Scientist - Wind Energy,Oldbaum Services Ltd,United Kingdom,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
4,Data Scientist,The University of Manchester,United Kingdom,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
5,Data Scientist and Analyst,Public Health England,West Yorkshire,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
6,Data Scientist,Morgan Stanley,London,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
7,Junior Data Scientist,REPLY,Birkenhead,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
8,Data Scientist,REPLY,Glasgow,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
9,Junior Data Scientist,Pro-Quest Resourcing,Norwich,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
10,Data Scientist,Lloyds Banking Group,Manchester,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
11,Graduate Data Scientist,Crowder Consulting,London SE1,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
12,Data Scientist,Barclays,Glasgow,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
13,Data Scientist,Williams Lea,United Kingdom,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
14,DATA SCIENTIST,Welsh Water,United Kingdom,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
15,Apprentice Data Scientist - 10010685,East of England Co-operative Society,West Yorkshire,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
16,Data Scientist,GoCompare,London,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
17,Junior Data Scientist,Veea Group,Birkenhead,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
18,Graduate / Junior Data Scientist,NetRev,Glasgow,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
19,Data Scientist - Wind Energy,Indeed Prime,Norwich,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
20,Data Scientist at Oxford AI startup,Williams Lea,Manchester,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
21,Data Scientist,DeepReason.ai,London SE1,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
22,Data Scientist,Oldbaum Services Ltd,Glasgow,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
23,Junior Data Scientist,The University of Manchester,United Kingdom,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
24,Apprentice Data Scientist - 10010685,Public Health England,United Kingdom,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
25,Data Scientist,Morgan Stanley,West Yorkshire,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
26,Junior Data Scientist - LEEDS - CGL3627,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
27,Junior Data Analyst,REPLY,Birkenhead,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
28,Data Scientist,Pro-Quest Resourcing,Glasgow,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
29,Development Scientist (Fixed Term 1 & 2 years),Lloyds Banking Group,Norwich,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
30,Clinical Data Scientist,Crowder Consulting,Manchester,Brak danych,"Graduate Data Scientist. All applications for this Graduate Data Scientist vacancy are to be submitted via email, and strictly no agency calls or agency CV..."
31,Junior Data Scientist Threat Intelligence,Barclays,London SE1,Brak danych,"Data Scientist. Data Scientist - 90235127. As a key member of this team, you will work alongside other Data Scientists, Data Engineers, A.I...."
32,Risk Data Scientist,Williams Lea,Glasgow,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
33,Junior Data Scientist,Welsh Water,United Kingdom,Brak danych,"As a Data Scientist, you will contribute substantially to the analytical capability of the Data Team, and the wider organisation. Band 7 (£36,710 - £42,215)...."
34,Junior Data Scientist,East of England Co-operative Society,United Kingdom,Brak danych,We are recruiting for an Apprentice Data Scientist to work in our Business Information Development team. This is a brand-new role that would suit someone who is...
35,Data Scientist,GoCompare,West Yorkshire,Brak danych,"GoCo has a sophisticated Azure Cloud-based group data platform that incoporates a data factory to orchestrate data distribution, a data lake, and a data..."
36,Graduate / Junior Data Scientist,Veea Group,London,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
37,DATA SCIENTIST,NetRev,Birkenhead,Brak danych,"Rethinking and optimising the ETL logic, refining raw data and building suitable data architecture for analytics and reporting, building new data pipes and..."
38,Data Scientist,Indeed Prime,Glasgow,Brak danych,Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles. How Indeed Prime Works....
39,Data Scientist - Wind Energy,Williams Lea,Norwich,Brak danych,Data Scientist. Williams Lea seeks a Data Scientist to join our team!*. As the Data Scientist work with stakeholders throughout the organisation (product...
40,Data Scientist,DeepReason.ai,Manchester,Brak danych,"Data Science:. You are a motivated data scientist, keen to apply your expertise to challenging real-world applications and high-performance AI software systems...."
41,Data Scientist at Oxford AI startup,Oldbaum Services Ltd,London SE1,Brak danych,"Data analysis, data collection, report writing, numerical analysis, client facing, outdoor technical work, presentations...."
42,Data Scientist,The University of Manchester,Glasgow,Brak danych,"The role of Data Scientist will involve assessing data quality, preparing datasets for researchers and, supporting systems to share data and analysis..."
43,Graduate / Junior Data Scientist,Public Health England,United Kingdom,Brak danych,Data Scientist and Analyst. Public Health Data Science. As a Public Health Data Scientist and Analyst you will be part of a dynamic team responsible for...
44,Data Scientist,Morgan Stanley,United Kingdom,Brak danych,Ability to work with data including rapid prototyping and coding skills using common data science tools (i.e. Experience building complex data visualizations in...
45,Data Scientist,REPLY,West Yorkshire,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
46,Lead Data Scientist,REPLY,London,Brak danych,"As a Data Scientist within Alpha Reply, you will contribute to develop our customer proposition and work on specific projects for our clients...."
47,"Data Scientist -IBM Watson Health, Manchester",Pro-Quest Resourcing,Birkenhead,Brak danych,"They are recruiting for a Junior Data Scientist, if you like the idea of using data for the good of others then please keep reading...."
48,Data Scientist / Quant Dev | Graduate Role,Lloyds Banking Group,Glasgow,Brak danych,And in joining as a Data Scientist in the Applied Science team you'll find yourself:. We're keen to speak to established industry-experienced Data Scientists -...
